,eventId,decimalLatitude,decimalLongitude
155,4155445054,-15.58418,136.3144
156,4155404049,-15.83348,136.59768
157,4155397079,-15.55046,136.27615
158,4155445121,-15.59637,136.29593
159,4155397126,-15.60447,136.33414
160,4155397176,-15.54317,136.25295
161,4155400178,-15.56564,136.30784
162,4155445212,-15.53204,136.27866
163,4155400217,-15.83545,136.65059
164,4155404261,-15.52522,136.32465
165,4155396160,-15.61032,136.31881
166,4155400293,-15.55661,136.29703
167,4155530297,-15.55428,136.26057
168,4155411336,-15.57585,136.29218
169,4155396259,-15.56733,136.29477
170,4155539329,-15.55205,136.27666
171,4155407413,-15.52008,136.31648
172,4155502408,-15.51234,136.32507
173,4155409499,-15.52889,136.31905
174,4155409533,-15.57036,136.30822
175,4155504575,-15.78895,136.66174
176,4155454709,-15.76597,136.66664
177,4155539738,-15.56184,136.3117
178,4155502795,-15.57048,136.30919
179,4155405719,-15.5347,136.27711
180,4155407859,-15.57254,136.32891
181,4155454848,-15.54945,136.32362
182,4155502907,-15.56629,136.29753
183,4155454929,-15.6249,136.32293
184,4155408038,-15.56353,136.29393
185,4155412016,-15.5728,136.279
186,4155410053,-15.80823,136.64523
187,4155540068,-15.59908,136.33085
188,4155503178,-15.81534,136.65431
189,4155410226,-15.53882,136.28437
190,4155412173,-15.61262,136.31716
191,4872132626,-27.196101,153.295133
192,4155406146,-15.59382,136.33427
193,4155540197,-15.7104,136.83198
194,4155503237,-15.57161,136.31554
195,4155503243,-15.66289,136.63654
196,4155503300,-15.5331,136.32251
197,4155419418,-15.53357,136.33609
198,4155512373,-15.53583,136.32558
199,4155414346,-15.49883,136.39239
200,4155514379,-15.58138,136.3214
201,4155419503,-15.63519,136.35175
202,4155419538,-15.58975,136.32057
203,4155419624,-15.54005,136.34076
204,4155547597,-15.77357,136.7817
205,4155547614,-15.54464,136.31848
206,4155418717,-15.78712,136.68978
207,4155512670,-15.55116,136.37511
208,4155418880,-15.83006,136.62639
209,4155512779,-15.5291,136.28416
210,4155419877,-15.54909,136.29346
211,4155547813,-15.64976,136.9121
212,4155512894,-15.57692,136.32897
213,4155414861,-15.50901,136.34934
214,4155419033,-15.52562,136.31804
215,4155514854,-15.52229,136.29615
216,4155547939,-15.56195,136.25197
217,4155514908,-15.76552,136.7351
218,4155419108,-15.51088,136.38373
219,4155512985,-15.53043,136.27427
220,4155419122,-15.4949,136.39209
221,4155465079,-15.57464,136.30125
222,4155513052,-15.59132,136.31964
223,4155419202,-15.84545,136.69468
224,4155513101,-15.77096,136.61123
225,4155465167,-15.73771,136.7294
226,4155420214,-15.51195,136.30701
227,4155513136,-15.59831,136.34335
228,4155420235,-15.56418,136.27353
229,4155513167,-15.5068,136.32731
230,4155420274,-15.51036,136.31952
231,4155548220,-15.54382,136.25726
232,4155426344,-15.55173,136.35456
233,4155515212,-15.50038,136.31147
234,4155555329,-15.56771,136.35181
235,4155525340,-15.54758,136.32487
236,4155424323,-15.52437,136.27433
237,4155525504,-15.78469,136.66461
238,4155476711,-15.80638,136.75677
239,4155525637,-15.54001,136.37082
240,4155426864,-15.54386,136.341
241,4155555778,-15.55776,136.45136
242,4155525773,-15.52494,136.31192
243,4155433813,-15.77982,136.67823
244,4155523887,-15.57346,136.29386
245,4155427123,-15.78127,136.67406
246,4155434104,-15.81943,136.65294
247,4155524126,-15.55288,136.29211
248,4155556144,-15.52856,136.2826
249,4155524208,-15.56714,136.30405
250,4155490303,-15.58769,136.23832
251,4155434217,-15.58091,136.33018
252,4155490371,-15.82836,136.6342
253,4155534335,-15.61309,136.36173
254,4155556285,-15.60313,136.51669
255,4155536501,-15.54468,136.30555
256,4155490608,-15.85605,136.60716
257,4155490609,-15.79068,136.64224
258,4155490708,-15.61972,136.33237
259,4155490724,-15.61115,136.3331
260,4155490738,-15.58942,136.29992
261,4155490878,-15.58245,136.31546
262,4155536824,-15.51131,136.31976
263,4155435744,-15.62074,136.33718
264,4155536892,-15.55761,136.24081
265,4155536945,-15.58142,136.3129
266,4155443883,-15.5225,136.30184
267,4155534981,-15.54319,136.32711
268,4155537088,-15.84684,136.67243
269,4155537134,-15.60918,136.89329
270,4155442277,-15.82394,136.68713
271,4155563107,-15.5066,136.34807
272,4155537181,-15.77773,136.67994
273,4155491249,-15.58071,136.33917
274,4155444187,-15.5632,136.27398
275,4155436129,-15.5262,136.30941
276,4155451411,-15.5057,136.33338
277,4155537281,-15.62552,136.31232
278,4155444275,-15.52993,136.27521
279,4155542336,-15.56418,136.43126
280,4155447498,-15.81815,136.7585
281,4155447599,-15.57209,136.33536
282,4155445417,-15.55367,136.27096
283,4155453511,-15.56599,136.29672
284,4155445564,-15.84645,136.68192
285,4155542691,-15.85675,136.66841
286,4155447870,-15.59317,136.30854
287,4155445673,-15.55009,136.28828
288,4155445762,-15.60707,136.3181
289,4155452197,-15.53434,136.33766
290,4155457372,-15.5742,136.33547
291,4155500296,-15.54861,136.29702
292,4155446162,-15.54602,136.29221
293,4155461473,-15.50389,136.34889
294,4155446201,-15.49491,136.37138
295,4155461500,-15.51559,136.32452
296,4155552348,-15.55564,136.26272
297,4155568245,-15.56273,136.35506
298,4155457594,-15.51672,136.30429
299,4155570396,-15.51152,136.30486
